serviceType,vehicleMake,vehicleModel,vehicleYear,dayOfWeek,durationMinutes
General Inspection,Hyundai,Venue,2015,TUESDAY,46
Engine Service,Maruti Suzuki,Brezza,2009,MONDAY,109
General Inspection,Honda,City,2024,FRIDAY,46
Engine Service,Kia,Seltos,2022,FRIDAY,100
Wheel Alignment,Hyundai,Creta,2021,WEDNESDAY,52
Brake Service,Maruti Suzuki,Swift,2020,MONDAY,68
Brake Service,Mahindra,Bolero,2016,SUNDAY,80
General Inspection,Kia,Seltos,2025,WEDNESDAY,42
Transmission Service,Mahindra,Bolero,2014,SATURDAY,174
Wheel Alignment,Maruti Suzuki,Baleno,2011,THURSDAY,62
Wheel Alignment,Ford,Figo,2013,WEDNESDAY,53
General Inspection,Tata,Altroz,2013,THURSDAY,51
AC Repair,Toyota,Fortuner,2025,TUESDAY,65
Oil Change,Honda,City,2018,THURSDAY,28
Wheel Alignment,Maruti Suzuki,Baleno,2026,SATURDAY,55
AC Repair,Ford,EcoSport,2016,TUESDAY,88
Tire Replacement,Toyota,Fortuner,2026,THURSDAY,49
Tire Replacement,Tata,Punch,2010,SUNDAY,56
Oil Change,Maruti Suzuki,Baleno,2013,SUNDAY,36
AC Repair,Kia,Sonet,2024,WEDNESDAY,63
Engine Service,Hyundai,i20,2025,SUNDAY,99
General Inspection,Toyota,Glanza,2013,THURSDAY,52
Oil Change,Toyota,Fortuner,2013,FRIDAY,42
Wheel Alignment,Honda,City,2019,SUNDAY,54
Battery Replacement,Hyundai,Venue,2023,MONDAY,39
Wheel Alignment,Honda,City,2015,FRIDAY,62
General Inspection,Maruti Suzuki,Brezza,2010,SUNDAY,50
Diagnostics,Tata,Harrier,2024,SUNDAY,61
Transmission Service,Kia,Seltos,2025,SUNDAY,133
Wheel Alignment,Kia,Sonet,2022,FRIDAY,52
Diagnostics,Maruti Suzuki,Baleno,2015,MONDAY,58
Tire Replacement,Honda,City,2010,SATURDAY,66
Oil Change,Honda,City,2009,SUNDAY,37
Wheel Alignment,Ford,EcoSport,2025,TUESDAY,56
Transmission Service,Ford,EcoSport,2023,SUNDAY,132
AC Repair,Mahindra,Scorpio,2021,THURSDAY,76
Oil Change,Maruti Suzuki,Swift,2020,SATURDAY,34
Tire Replacement,Honda,City,2025,THURSDAY,53
Battery Replacement,Kia,Seltos,2016,THURSDAY,39
Diagnostics,Maruti Suzuki,Swift,2025,SUNDAY,74
Oil Change,Maruti Suzuki,Baleno,2013,THURSDAY,33
AC Repair,Hyundai,Creta,2020,MONDAY,75
AC Repair,Toyota,Glanza,2017,THURSDAY,74
Engine Service,Ford,EcoSport,2014,WEDNESDAY,89
Tire Replacement,Hyundai,i20,2018,MONDAY,54
Engine Service,Tata,Nexon,2024,MONDAY,95
Battery Replacement,Maruti Suzuki,Swift,2015,THURSDAY,45
Tire Replacement,Hyundai,i20,2021,SATURDAY,61
Transmission Service,Mahindra,Scorpio,2014,SATURDAY,156
AC Repair,Tata,Harrier,2022,WEDNESDAY,68
